x y t s
0.604212 40.69777 "2022-12-26 08:27:43+00:00" 1
0.604276 40.697745 "2022-12-26 08:27:44+00:00" 1
0.604276 40.697745 "2022-12-26 08:27:44+00:00" 1
0.604345 40.697721 "2022-12-26 08:27:45+00:00" 1
0.604345 40.697721 "2022-12-26 08:27:45+00:00" 1
0.604412 40.6977 "2022-12-26 08:27:46+00:00" 1
0.604412 40.6977 "2022-12-26 08:27:46+00:00" 1
0.604474 40.697674 "2022-12-26 08:27:47+00:00" 1
0.604474 40.697674 "2022-12-26 08:27:47+00:00" 1
0.604545 40.697653 "2022-12-26 08:27:48+00:00" 1
0.604545 40.697653 "2022-12-26 08:27:48+00:00" 1
0.604611 40.697629 "2022-12-26 08:27:49+00:00" 1
0.604611 40.697629 "2022-12-26 08:27:49+00:00" 1
0.604681 40.697608 "2022-12-26 08:27:50+00:00" 1
0.604681 40.697608 "2022-12-26 08:27:50+00:00" 1
0.604745 40.697585 "2022-12-26 08:27:51+00:00" 1
0.604745 40.697585 "2022-12-26 08:27:51+00:00" 1
0.60481 40.697562 "2022-12-26 08:27:52+00:00" 1
0.60481 40.697562 "2022-12-26 08:27:52+00:00" 1
0.604878 40.69754 "2022-12-26 08:27:53+00:00" 1
0.604878 40.69754 "2022-12-26 08:27:53+00:00" 1
0.604943 40.697515 "2022-12-26 08:27:54+00:00" 1
0.604943 40.697515 "2022-12-26 08:27:54+00:00" 1
0.605006 40.697491 "2022-12-26 08:27:55+00:00" 1
0.605006 40.697491 "2022-12-26 08:27:55+00:00" 1
0.605067 40.697464 "2022-12-26 08:27:56+00:00" 1
0.605067 40.697464 "2022-12-26 08:27:56+00:00" 1
0.605134 40.697441 "2022-12-26 08:27:57+00:00" 1
0.605134 40.697441 "2022-12-26 08:27:57+00:00" 1
0.605198 40.697419 "2022-12-26 08:27:58+00:00" 1
0.605198 40.697419 "2022-12-26 08:27:58+00:00" 1
0.605259 40.697396 "2022-12-26 08:27:59+00:00" 1
0.605259 40.697396 "2022-12-26 08:27:59+00:00" 1
0.605318 40.697372 "2022-12-26 08:28:00+00:00" 1
0.605318 40.697372 "2022-12-26 08:28:00+00:00" 1
0.605376 40.697348 "2022-12-26 08:28:01+00:00" 1
0.605376 40.697348 "2022-12-26 08:28:01+00:00" 1
0.605428 40.697318 "2022-12-26 08:28:02+00:00" 1
0.605428 40.697318 "2022-12-26 08:28:02+00:00" 1
0.605471 40.697277 "2022-12-26 08:28:03+00:00" 1
0.605471 40.697277 "2022-12-26 08:28:03+00:00" 1
0.605495 40.697237 "2022-12-26 08:28:04+00:00" 1
0.605495 40.697237 "2022-12-26 08:28:04+00:00" 1
0.605501 40.697196 "2022-12-26 08:28:05+00:00" 1
0.605501 40.697196 "2022-12-26 08:28:05+00:00" 1
0.6055 40.697155 "2022-12-26 08:28:06+00:00" 1
0.6055 40.697155 "2022-12-26 08:28:06+00:00" 1
0.605492 40.697108 "2022-12-26 08:28:07+00:00" 1
