Name,Class,Latitude,Longitude
Castell de Bell-lloc,Castells,41.625942,2.335301
Castell de Bellpuig,Castells,41.626399,1.010941
Castell de Bellveí,Castells,41.75526,1.291789
Castell de Bellver,Castells,42.370674,1.775604
Castell de Berguedà,Castells,42.109974,1.834526
Castell de Berti,Castells,41.715134,2.228516
Castell de Besora,Castells,42.02927,1.599364
Castell de Besora,Castells,42.123772,2.250183
Castell de Bestracà,Castells,42.29435,2.51543
Castell de Beuda ,Castells,42.238018,2.70445
Castell de Biosca ,Castells,41.843056,1.359534
Castell de Biure,Castells,41.490318,1.351514
Castell de Biure d&#8217;Empordà ,Castells,42.339081,2.893334
Castell de Biure de Queixàs,Castells,42.211639,2.815306
Castell de Blancafort,Castells,42.129284,1.83753
Castell de Blancafort,Castells,42.253052,2.085149
Castell de Blanes ,Castells,41.679485,2.798287
Castell de Boixadors,Castells,41.770573,1.574754
Castell de Briançó,Castells,41.636619,1.344846
Castell de Brunyola ,Castells,41.904652,2.68461
Castell de Bufalaranya,Castells,42.295364,3.194436
Castell de Burg,Castells,42.504154,1.272346
Castell de Burriac,Castells,41.537491,2.387178
Castell de Cabanes ,Castells,42.307026,2.97718
Castell de Cabrera,Castells,41.513363,1.693413
Castell de Cabrera,Castells,42.407284,2.773715
Castell de Cabrera,Castells,42.076038,2.407253
Castell de Calabuig,Castells,42.152004,2.924992
Castell de Calaf ,Castells,41.733765,1.509652
Castell de Calafell ,Castells,41.201523,1.568443
Castell de Calders,Castells,41.780602,1.992983
Castell de Caldes,Castells,41.838406,2.808407
Castell de Callús ,Castells,41.794182,1.779386
Castell de Calonge,Castells,41.764278,1.480789
Castell de Calonge ,Castells,41.863056,3.073333
Castell de Camarasa ,Castells,41.87624,0.877946
Castell de Cambrer,Castells,41.15477,1.109528
Castell de Cambrils,Castells,42.132236,1.38788
Castell de Campdorà ,Castells,42.012775,2.843864
Castell de Campelles ,Castells,42.295132,2.13905
Castell de Camprodon ,Castells,42.312862,2.365698
Castell de Can Ferrer de la Cogullada,Castells,41.325851,1.429499
Castell de Can Feu,Castells,41.539329,2.093716
Castell de Can Jaumar,Castells,41.526875,2.370478
Castell de Can Taió,Castells,41.523834,2.176556
Castell de Canadal,Castells,42.410645,2.882801
Castell de Canals,Castells,41.459045,2.039884
Castell de Canet d&#8217;Adri,Castells,42.036694,2.730843
Castell de Cantallops ,Castells,42.422558,2.925011
Castell de Canyelles ,Castells,41.287209,1.722777
Castell de Cap Roig,Castells,41.877174,3.177366
Castell de Cardona ,Castells,41.914391,1.685629
Castell de Carles,Castells,40.850552,0.359534
Castell de Cartellà,Castells,42.011852,2.763298
Castell de Casserres,Castells,41.995247,2.342513
Castell de Castell d&#8217;Aro,Castells,41.815048,3.030566
Castell de Castell-llebre,Castells,42.085075,1.289649
Castell de Castell-lleó,Castells,42.738876,0.717038
Castell de Castelladral,Castells,41.900249,1.781212
Castell de Castellar,Castells,41.728264,1.649288
Castell de Castellar,Castells,42.022568,1.416273
Castell de Castellar,Castells,41.60575,2.074528
Castell de Castellarnau,Castells,41.559341,2.072843
Castell de Castellbarri,Castells,41.855221,3.046769
Castell de Castellbell,Castells,41.642452,1.858315
Castell de Castellbisbal ,Castells,41.473953,1.973725
Castell de Castellbó,Castells,42.374596,1.356001
Castell de Castellcir,Castells,41.774067,2.176774
Castell de Castellciuró,Castells,41.412277,2.030757
Castell de Castellciutat,Castells,42.357609,1.445467
Castell de Castelldans ,Castells,41.501163,0.765677
Castell de Castelldefels ,Castells,41.284248,1.978148
Castell de Castellet,Castells,41.264599,1.636075
Castell de Castellet,Castells,41.501865,1.731253
Castell de Castellet,Castells,41.664215,1.850716
Castell de Castellfollit,Castells,41.776344,1.436918
Castell de Castellfollit,Castells,41.669014,1.704632
Castell de Castellfollit,Castells,42.218867,2.552812
Castell de Castellgalí ,Castells,41.678619,1.840801
Castell de Castellgermà,Castells,42.375271,0.862853
Castell de Castellmeià,Castells,41.735027,1.301424
Castell de Castellnou de Carcolze,Castells,42.387638,1.582192
Castell de Castellnou de Llinars ,Castells,41.640312,2.403332
Castell de Castellnou de Montsec,Castells,42.102112,0.765325
Castell de Castellnou,Castells,41.703693,1.297454
Castell de Castelló,Castells,41.821354,0.725795
Castell de Castellolí ,Castells,41.588585,1.708422
Castell de Castelltallat,Castells,42.118652,0.995784
Castell de Castelltallat ,Castells,41.793964,1.632594
Castell de Castellterçol,Castells,41.745049,2.120101
Castell de Castellvell de la Marca ,Castells,41.337608,1.578528
Castell de Castellvell de Solsona,Castells,41.994888,1.502962
Castell de Castellvell del Far,Castells,41.626678,2.407449
Castell de Castilló de Tor,Castells,42.434029,0.741768
Castell de Castissent,Castells,42.124413,0.713653
Castell de Cava ,Castells,42.325245,1.606662
Castell de Cellers,Castells,41.811954,1.476221
Castell de Celrà ,Castells,42.019855,2.881905
Castell de Centelles,Castells,41.769615,2.206535
Castell de Cervelló ,Castells,41.387589,1.959415
Castell de Cervera ,Castells,41.664597,1.26906
Castell de Cérvoles ,Castells,41.359577,0.916994
